instance_id	file_id	speaker	colloq	norm	start_t	end_t	label_origC	label_collapseC	NER_orig	NER_collapse	split_orig	split_redo	annotation_type
ROG-Dia-GSO-P0005_ROG-dialog-0007_44.807_46.755	ROG-Dia-GSO-P0005	ROG-dialog-0007	Ja.	Ja.	44.807	46.755	predominantlyPositive	positive	B-predominantlyPositive	B-positive	train	train	sentiment
ROG-Dia-GSO-P0005_ROG-dialog-0007_48.013_53.776	ROG-Dia-GSO-P0005	ROG-dialog-0007	Tm zbjereš, pol se prjav@š, prjav@š tiste usjebe, ku grjejo.	Tam izbereš, pol se prijaviš, prijaviš tiste osebe, ko grejo.	48.013	53.776	neutralPositive	neutral	B-neutralPositive	B-neutral	train	train	sentiment
ROG-Dia-GSO-P0005_ROG-dialog-0007_53.776_56.595	ROG-Dia-GSO-P0005	ROG-dialog-0007	Pa mor bit prov napisano. Morjo bit vse črke prov.	Pa mora biti prav napisano. Morajo biti vse črke prav.	53.776	56.595	mixedNegative	negative	B-mixedNegative	B-negative	train	train	sentiment
ROG-Dia-GSO-P0005_ROG-dialog-0007_58.838_66.083	ROG-Dia-GSO-P0005	ROG-dialog-0007	Lohku eee z doplačil@m, misl@m, da je desjet evru, da zamenjaš eee naslov eee naslovnika karte.	Lahko eee z doplačilom, mislim, da je deset evrov, da zamenjaš eee naslov eee naslovnika karte.	58.838	66.083	neutralPositive	neutral	B-neutralPositive	B-neutral	train	train	sentiment
ROG-Dia-GSO-P0005_ROG-dialog-0007_66.930_68.851	ROG-Dia-GSO-P0005	ROG-dialog-0007	Ja, in pol s kartico plačaš.	Ja, in pol s kartico plačaš.	66.93	68.851	neutralPositive	neutral	B-neutralPositive	B-neutral	train	train	sentiment
ROG-Dia-GSO-P0005_ROG-dialog-0007_69.978_72.147	ROG-Dia-GSO-P0005	ROG-dialog-0007	Kartico j@maš za plačat?	Kartico imaš za plačati?	69.978	72.147	neutralPositive	neutral	B-neutralPositive	B-neutral	train	train	sentiment
ROG-Dia-GSO-P0005_ROG-dialog-0007_72.636_73.120	ROG-Dia-GSO-P0005	ROG-dialog-0007	Bančno?	Bančno?	72.636	73.12	neutralPositive	neutral	I-neutralPositive	I-neutral	train	train	sentiment
ROG-Dia-GSO-P0005_ROG-dialog-0007_73.508_73.980	ROG-Dia-GSO-P0005	ROG-dialog-0007	A j@maš?	A imaš?	73.508	73.98	neutralNegative	neutral	B-neutralNegative	I-neutral	train	train	sentiment
ROG-Dia-GSO-P0005_ROG-dialog-0007_75.105_76.027	ROG-Dia-GSO-P0005	ROG-dialog-0007	A no, tistu j@maš.	A no, tisto imaš.	75.105	76.027	mixedNegative	negative	B-mixedNegative	B-negative	train	train	sentiment
ROG-Dia-GSO-P0005_ROG-dialog-0007_76.027_78.046	ROG-Dia-GSO-P0005	ROG-dialog-0007	No, in pol ko plačaš ...	No, in pol ko plačaš ...	76.027	78.046	neutralPositive	neutral	B-neutralPositive	B-neutral	train	train	sentiment
ROG-Dia-GSO-P0005_ROG-dialog-0007_78.046_81.743	ROG-Dia-GSO-P0005	ROG-dialog-0007	puol pa hr@š nazaj v aplikacijo in nardiš tisti ček in.	pol pa greš nazaj v aplikacijo in narediš tisti check in.	78.046	81.743	neutralPositive	neutral	I-neutralPositive	I-neutral	train	train	sentiment
ROG-Dia-GSO-P0005_ROG-dialog-0007_82.496_83.433	ROG-Dia-GSO-P0005	ROG-dialog-0007	Ne?	Ne?	82.496	83.433	neutralPositive	neutral	B-neutralPositive	B-neutral	train	train	sentiment
ROG-Dia-GSO-P0005_ROG-dialog-0007_83.433_87.467	ROG-Dia-GSO-P0005	ROG-dialog-0007	In tm ti piše puol, ob kulki uri grješ in kdaj pristaneš.	In tam ti piše pol, ob koliki uri greš in kdaj pristaneš.	83.433	87.467	neutralPositive	neutral	I-neutralPositive	I-neutral	train	train	sentiment
ROG-Dia-GSO-P0005_ROG-dialog-0007_87.467_88.976	ROG-Dia-GSO-P0005	ROG-dialog-0007	In številko leta.	In številko leta.	87.467	88.976	neutralPositive	neutral	I-neutralPositive	I-neutral	train	train	sentiment
ROG-Dia-GSO-P0005_ROG-dialog-0007_88.976_90.502	ROG-Dia-GSO-P0005	ROG-dialog-0007	Pa za ...	Pa za ...	88.976	90.502	neutralPositive	neutral	I-neutralPositive	I-neutral	train	train	sentiment
ROG-Dia-GSO-P0005_ROG-dialog-0007_92.364_92.587	ROG-Dia-GSO-P0005	ROG-dialog-0007	Ja, no,	Ja, no,	92.364	92.587	predominantlyNegative	negative	B-predominantlyNegative	B-negative	train	train	sentiment
ROG-Dia-GSO-P0005_ROG-dialog-0007_92.587_95.011	ROG-Dia-GSO-P0005	ROG-dialog-0007	pa sej sss čm ti puvedat pa te navad@t.	pa saj sss čem ti povedati pa te navaditi.	92.587	95.011	predominantlyNegative	negative	I-predominantlyNegative	I-negative	train	train	sentiment
ROG-Dia-GSO-P0005_ROG-dialog-0007_95.487_97.797	ROG-Dia-GSO-P0005	ROG-dialog-0007	Pa kaj b() ki buste pa parkirali?	Pa kaj b() kje boste pa parkirali?	95.487	97.797	neutralPositive	neutral	B-neutralPositive	B-neutral	train	train	sentiment
ROG-Dia-GSO-P0005_ROG-dialog-0007_98.887_100.809	ROG-Dia-GSO-P0005	ROG-dialog-0007	Ja, avto na letališči?	Ja, avto na letališču?	98.887	100.809	neutralNegative	neutral	B-neutralNegative	B-neutral	train	train	sentiment
ROG-Dia-GSO-P0005_ROG-dialog-0007_102.910_105.010	ROG-Dia-GSO-P0005	ROG-dialog-0007	Ma na, pa spet.	Ma na, pa spet.	102.91	105.01	predominantlyNegative	negative	B-predominantlyNegative	B-negative	train	train	sentiment
ROG-Dia-GSO-P0005_ROG-dialog-0007_105.010_106.675	ROG-Dia-GSO-P0005	ROG-dialog-0007	Pa tm rezervirejte tisto.	Pa tam rezervirajte tisto.	105.01	106.675	neutralNegative	neutral	B-neutralNegative	B-neutral	train	train	sentiment
ROG-Dia-GSO-P0005_ROG-dialog-0007_107.182_112.081	ROG-Dia-GSO-P0005	ROG-dialog-0007	Ja, sam morš met eee tab@lco, registracijo	Ja, samo moraš imeti eee tablico, registracijo	107.182	112.081	neutralPositive	neutral	B-neutralPositive	B-neutral	train	train	sentiment
ROG-Dia-GSO-P0005_ROG-dialog-0007_112.081_116.436	ROG-Dia-GSO-P0005	ROG-dialog-0007	in pol tm daš od kdaj do kdaj, kir datum in uro.	in pol tam daš od kdaj do kdaj, kateri datum in uro.	112.081	116.436	neutralPositive	neutral	I-neutralPositive	I-neutral	train	train	sentiment
ROG-Dia-GSO-P0005_ROG-dialog-0007_117.073_120.047	ROG-Dia-GSO-P0005	ROG-dialog-0007	In pol tm p@stiš in te že senzor zazna tab@lco,	In pol tam pustiš in te že senzor zazna tablico,	117.073	120.047	neutralPositive	neutral	B-neutralPositive	B-neutral	train	train	sentiment
ROG-Dia-GSO-P0005_ROG-dialog-0007_120.047_120.493	ROG-Dia-GSO-P0005	ROG-dialog-0007	ja.	ja.	120.047	120.493	predominantlyPositive	positive	B-predominantlyPositive	B-positive	train	train	sentiment
ROG-Dia-GSO-P0005_ROG-dialog-0007_120.493_121.687	ROG-Dia-GSO-P0005	ROG-dialog-0007	Ja, in nč ne rab@š.	Ja, in nič ne rabiš.	120.493	121.687	neutralPositive	neutral	B-neutralPositive	B-neutral	train	train	sentiment
ROG-Dia-GSO-P0005_ROG-dialog-0007_122.951_125.123	ROG-Dia-GSO-P0005	ROG-dialog-0007	No, in ti je čist enostavno ke prid@t.	No, in ti je čisto enostavno tja priti.	122.951	125.123	mixedNegative	negative	B-mixedNegative	B-negative	train	train	sentiment
ROG-Dia-GSO-P0005_ROG-dialog-0007_126.027_128.087	ROG-Dia-GSO-P0005	ROG-dialog-0007	A no, sej smo šle zadnič.	A no, saj smo šle zadnjič.	126.027	128.087	neutralPositive	neutral	B-neutralPositive	B-neutral	train	train	sentiment
ROG-Dia-GSO-P0005_ROG-dialog-0007_128.087_129.229	ROG-Dia-GSO-P0005	ROG-dialog-0007	Na pregled.	Na pregled.	128.087	129.229	neutralPositive	neutral	I-neutralPositive	I-neutral	train	train	sentiment
ROG-Dia-GSO-P0005_ROG-dialog-0007_129.229_134.639	ROG-Dia-GSO-P0005	ROG-dialog-0007	No, in ko uste pršle nazaj, se vsedeš v avto in hr@š domov.	No, in ko boste prišle nazaj, se usedeš v avto in greš domov.	129.229	134.639	neutralPositive	neutral	I-neutralPositive	I-neutral	train	train	sentiment
ROG-Dia-GSO-P0005_ROG-dialog-0007_137.504_139.426	ROG-Dia-GSO-P0005	ROG-dialog-0007	Sej buš počivala na letali.	Saj boš počivala na letalu.	137.504	139.426	mixedNegative	negative	B-mixedNegative	B-negative	train	train	sentiment
ROG-Dia-GSO-P0005_ROG-dialog-0007_139.931_141.680	ROG-Dia-GSO-P0005	ROG-dialog-0007	Kuk cajta se uste pelali?	Koliko cajta se boste peljali?	139.931	141.68	neutralPositive	neutral	B-neutralPositive	B-neutral	train	train	sentiment
ROG-Dia-GSO-P0005_ROG-dialog-0007_141.680_142.087	ROG-Dia-GSO-P0005	ROG-dialog-0007	Dve uri?	Dve uri?	141.68	142.087	neutralPositive	neutral	I-neutralPositive	I-neutral	train	train	sentiment
ROG-Dia-GSO-P0005_ROG-dialog-0007_142.087_142.960	ROG-Dia-GSO-P0005	ROG-dialog-0007	Kulk smo se mi pelali?	Koliko smo se mi peljali?	142.087	142.96	neutralPositive	neutral	I-neutralPositive	I-neutral	train	train	sentiment
ROG-Dia-GSO-P0005_ROG-dialog-0007_142.960_145.091	ROG-Dia-GSO-P0005	ROG-dialog-0007	Tri? Dvej, menda,	Tri? Dve, menda,	142.96	145.091	neutralPositive	neutral	I-neutralPositive	I-neutral	train	train	sentiment
ROG-Dia-GSO-P0005_ROG-dialog-0007_145.091_145.608	ROG-Dia-GSO-P0005	ROG-dialog-0007	ne vem.	ne vem.	145.091	145.608	predominantlyNegative	negative	B-predominantlyNegative	B-negative	train	train	sentiment
ROG-Dia-GSO-P0005_ROG-dialog-0007_147.075_148.767	ROG-Dia-GSO-P0005	ROG-dialog-0007	Na karti bo pisalu.	Na karti bo pisalo.	147.075	148.767	neutralPositive	neutral	B-neutralPositive	B-neutral	train	train	sentiment
ROG-Dia-GSO-P0005_ROG-dialog-0007_148.767_150.133	ROG-Dia-GSO-P0005	ROG-dialog-0007	Kdaj je vzlet in kdaj je pristanek.	Kdaj je vzlet in kdaj je pristanek.	148.767	150.133	neutralPositive	neutral	I-neutralPositive	I-neutral	train	train	sentiment
ROG-Dia-GSO-P0005_ROG-dialog-0007_151.669_154.954	ROG-Dia-GSO-P0005	ROG-dialog-0007	Ja, sej zatu si muorš naruo() naluožt tisto aplikacijo.	Ja, saj zato si moraš naruo() naložiti tisto aplikacijo.	151.669	154.954	neutralPositive	neutral	B-neutralPositive	B-neutral	train	train	sentiment
ROG-Dia-GSO-P0005_ROG-dialog-0007_155.796_159.028	ROG-Dia-GSO-P0005	ROG-dialog-0007	Ja, kaj pa eee hotel?	Ja, kaj pa eee hotel?	155.796	159.028	neutralPositive	neutral	B-neutralPositive	B-neutral	train	train	sentiment
ROG-Dia-GSO-P0005_ROG-dialog-0007_159.028_160.472	ROG-Dia-GSO-P0005	ROG-dialog-0007	A ne boste v hoteli?	A ne boste v hotelu?	159.028	160.472	neutralPositive	neutral	I-neutralPositive	I-neutral	train	train	sentiment
ROG-Dia-GSO-P0005_ROG-dialog-0007_160.472_161.106	ROG-Dia-GSO-P0005	ROG-dialog-0007	Ki pa boste?	Kje pa boste?	160.472	161.106	neutralPositive	neutral	I-neutralPositive	I-neutral	train	train	sentiment
ROG-Dia-GSO-P0005_ROG-dialog-0007_161.998_163.895	ROG-Dia-GSO-P0005	ROG-dialog-0007	A hmečki turizem bo?	A kmečki turizem bo?	161.998	163.895	mixedNegative	negative	B-mixedNegative	B-negative	train	train	sentiment
ROG-Dia-GSO-P0005_ROG-dialog-0007_163.895_165.350	ROG-Dia-GSO-P0005	ROG-dialog-0007	Kaj z zajtrkom?	Kaj z zajtrkom?	163.895	165.35	neutralPositive	neutral	B-neutralPositive	B-neutral	train	train	sentiment
ROG-Dia-GSO-P0005_ROG-dialog-0007_166.285_167.044	ROG-Dia-GSO-P0005	ROG-dialog-0007	Aja?	Aja?	166.285	167.044	predominantlyNegative	negative	B-predominantlyNegative	B-negative	train	train	sentiment
ROG-Dia-GSO-P0005_ROG-dialog-0007_167.044_167.803	ROG-Dia-GSO-P0005	ROG-dialog-0007	Z zajtrkom?	Z zajtrkom?	167.044	167.803	neutralNegative	neutral	B-neutralNegative	B-neutral	train	train	sentiment
ROG-Dia-GSO-P0005_ROG-dialog-0007_168.199_169.249	ROG-Dia-GSO-P0005	ROG-dialog-0007	Ma brez večirje?	Ma brez večerje?	168.199	169.249	mixedNegative	negative	B-mixedNegative	B-negative	train	train	sentiment
ROG-Dia-GSO-P0005_ROG-dialog-0007_170.636_171.647	ROG-Dia-GSO-P0005	ROG-dialog-0007	Aja, večirja.	Aja, večerja.	170.636	171.647	neutralPositive	neutral	B-neutralPositive	B-neutral	train	train	sentiment
ROG-Dia-GSO-P0005_ROG-dialog-0007_171.647_173.059	ROG-Dia-GSO-P0005	ROG-dialog-0007	A uste šli kam drgam?	A boste šli kam drugam?	171.647	173.059	neutralPositive	neutral	I-neutralPositive	I-neutral	train	train	sentiment
ROG-Dia-GSO-P0005_ROG-dialog-0007_175.419_177.017	ROG-Dia-GSO-P0005	ROG-dialog-0007	V kirmu kraji pa j@?	V katerem kraju pa je?	175.419	177.017	neutralPositive	neutral	B-neutralPositive	B-neutral	train	train	sentiment
ROG-Dia-GSO-P0005_ROG-dialog-0007_181.733_182.666	ROG-Dia-GSO-P0005	ROG-dialog-0007	Ja, super.	Ja, super.	181.733	182.666	mixedNegative	negative	B-mixedNegative	B-negative	train	train	sentiment
ROG-Dia-GSO-P0005_ROG-dialog-0007_182.666_183.906	ROG-Dia-GSO-P0005	ROG-dialog-0007	Js bi šla tut taku.	Jaz bi šla tudi tako.	182.666	183.906	mixedNegative	negative	I-mixedNegative	I-negative	train	train	sentiment
ROG-Dia-GSO-P0005_ROG-dialog-0007_185.872_186.625	ROG-Dia-GSO-P0005	ROG-dialog-0007	Ja.	Ja.	185.872	186.625	predominantlyPositive	positive	B-predominantlyPositive	B-positive	train	train	sentiment
ROG-Dia-GSO-P0005_ROG-dialog-0007_189.130_192.035	ROG-Dia-GSO-P0005	ROG-dialog-0007	Ja, no, ma sej tut tu preko Bukinga reš l@hku, ne?	Ja, no, ma saj tudi tu preko Bookinga greš lahko, ne?	189.13	192.035	neutralPositive	neutral	B-neutralPositive	B-neutral	train	train	sentiment
ROG-Dia-GSO-P0005_ROG-dialog-0007_192.462_195.428	ROG-Dia-GSO-P0005	ROG-dialog-0007	Tut tu morš imeti aplikacijo pa se registrir@t.	Tudi tu moraš imeti aplikacijo pa se registrirati.	192.462	195.428	neutralPositive	neutral	I-neutralPositive	I-neutral	train	train	sentiment
ROG-Dia-GSO-P0005_ROG-dialog-0007_196.431_198.341	ROG-Dia-GSO-P0005	ROG-dialog-0007	Ne, pa si zbereš, kar č@š.	Ne, pa si izbereš, kar češ.	196.431	198.341	neutralPositive	neutral	B-neutralPositive	B-neutral	train	train	sentiment
ROG-Dia-GSO-P0005_ROG-dialog-0007_201.508_204.081	ROG-Dia-GSO-P0005	ROG-dialog-0007	Mor@š met aplikacijo pa si rezerviraš Buking,	Moraš imeti aplikacijo pa si rezerviraš Booking,	201.508	204.081	neutralPositive	neutral	B-neutralPositive	B-neutral	train	train	sentiment
ROG-Dia-GSO-P0005_ROG-dialog-0007_204.081_209.627	ROG-Dia-GSO-P0005	ROG-dialog-0007	pa sej tm maš guor tut apartmaje in bungalove menda in hotelov, kmečke turizme, menda je vse guor.	pa saj tam imaš gor tudi apartmaje in bungalove menda in hotelov, kmečke turizme, menda je vse gor.	204.081	209.627	neutralPositive	neutral	I-neutralPositive	I-neutral	train	train	sentiment
ROG-Dia-GSO-P0005_ROG-dialog-0007_212.783_214.062	ROG-Dia-GSO-P0005	ROG-dialog-0007	[glas] Ja.	[glas] Ja.	212.783	214.062	neutralPositive	neutral	B-neutralPositive	B-neutral	train	train	sentiment
ROG-Dia-GSO-P0005_ROG-dialog-0007_216.064_217.076	ROG-Dia-GSO-P0005	ROG-dialog-0007	Ja, lepu.	Ja, lepo.	216.064	217.076	neutralPositive	neutral	B-neutralPositive	B-neutral	train	train	sentiment
ROG-Dia-GSO-P0005_ROG-dialog-0007_217.076_218.390	ROG-Dia-GSO-P0005	ROG-dialog-0007	Kaj pa za potovalko?	Kaj pa za potovalko?	217.076	218.39	neutralPositive	neutral	I-neutralPositive	I-neutral	train	train	sentiment
ROG-Dia-GSO-P0005_ROG-dialog-0007_218.390_219.393	ROG-Dia-GSO-P0005	ROG-dialog-0007	Kuf@r?	Kufer?	218.39	219.393	neutralPositive	neutral	I-neutralPositive	I-neutral	train	train	sentiment
ROG-Dia-GSO-P0005_ROG-dialog-0007_220.038_222.237	ROG-Dia-GSO-P0005	ROG-dialog-0007	Mourš puhledat une mire, ku gre na letal.	Moraš pogledati one mere, ko gre na letalo.	220.038	222.237	neutralPositive	neutral	B-neutralPositive	B-neutral	train	train	sentiment
ROG-Dia-GSO-P0005_ROG-dialog-0007_222.237_224.568	ROG-Dia-GSO-P0005	ROG-dialog-0007	Ne boš nč uzela?	Ne boš nič vzela?	222.237	224.568	neutralPositive	neutral	I-neutralPositive	I-neutral	train	train	sentiment
ROG-Dia-GSO-P0005_ROG-dialog-0007_227.374_227.945	ROG-Dia-GSO-P0005	ROG-dialog-0007	Ja.	Ja.	227.374	227.945	neutralPositive	neutral	B-neutralPositive	B-neutral	train	train	sentiment
ROG-Dia-GSO-P0005_ROG-dialog-0007_227.945_230.536	ROG-Dia-GSO-P0005	ROG-dialog-0007	Ne vem, odvisno, kdaj hjreš, kašno vreme bo.	Ne vem, odvisno, kdaj greš, kakšno vreme bo.	227.945	230.536	mixedPositive	positive	B-mixedPositive	B-positive	train	train	sentiment
ROG-Dia-GSO-P0005_ROG-dialog-0007_231.140_233.076	ROG-Dia-GSO-P0005	ROG-dialog-0007	Kupalke nesi, m@rda buoš šla se kuop@t.	Kopalke nesi, morda boš šla se kopat.	231.14	233.076	neutralPositive	neutral	B-neutralPositive	B-neutral	train	train	sentiment
ROG-Dia-GSO-P0005_ROG-dialog-0007_234.164_234.882	ROG-Dia-GSO-P0005	ROG-dialog-0007	Ja.	Ja.	234.164	234.882	neutralNegative	neutral	B-neutralNegative	B-neutral	train	train	sentiment
ROG-Dia-GSO-P0005_ROG-dialog-0007_236.333_237.871	ROG-Dia-GSO-P0005	ROG-dialog-0007	Hreste prezgudi.	Greste prezgodaj.	236.333	237.871	neutralNegative	neutral	B-neutralNegative	B-neutral	train	train	sentiment
ROG-Dia-GSO-P0005_ROG-dialog-0007_240.241_241.892	ROG-Dia-GSO-P0005	ROG-dialog-0007	Ja, lej.	Ja, glej.	240.241	241.892	neutralNegative	neutral	B-neutralNegative	B-neutral	train	train	sentiment
ROG-Dia-GSO-P0005_ROG-dialog-0007_241.892_243.700	ROG-Dia-GSO-P0005	ROG-dialog-0007	Pol buste pa raziskovali okuli	Pol boste pa raziskovali okoli	241.892	243.7	neutralPositive	neutral	B-neutralPositive	I-neutral	train	train	sentiment
ROG-Dia-GSO-P0005_ROG-dialog-0007_243.700_245.127	ROG-Dia-GSO-P0005	ROG-dialog-0007	pa na izlete boste šli.	pa na izlete boste šli.	243.7	245.127	neutralPositive	neutral	I-neutralPositive	I-neutral	train	train	sentiment
ROG-Dia-GSO-P0005_ROG-dialog-0007_246.422_248.928	ROG-Dia-GSO-P0005	ROG-dialog-0007	Misl@m, da je dimenzije štir,	Mislim, da je dimenzije štiri,	246.422	248.928	neutralPositive	neutral	B-neutralPositive	B-neutral	train	train	sentiment
ROG-Dia-GSO-P0005_ROG-dialog-0007_248.928_249.658	ROG-Dia-GSO-P0005	ROG-dialog-0007	eee ku(), ne,	eee ko(), ne,	248.928	249.658	neutralPositive	neutral	I-neutralPositive	I-neutral	train	train	sentiment
ROG-Dia-GSO-P0005_ROG-dialog-0007_249.658_252.894	ROG-Dia-GSO-P0005	ROG-dialog-0007	rudzah je štjirdeset, pjed@s@t, dvajst, ne?	rukzak je štirideset, petdeset, dvajset, ne?	249.658	252.894	neutralPositive	neutral	I-neutralPositive	I-neutral	train	train	sentiment
ROG-Dia-GSO-P0005_ROG-dialog-0007_253.520_258.191	ROG-Dia-GSO-P0005	ROG-dialog-0007	Kuf@r je pa, piše na aplikaciji od Rajenera, murš puhljedat, kulk gre l@hku.	Kufer je pa, piše na aplikaciji od Ryanaira, moraš pogledati, koliko gre lahko.	253.52	258.191	neutralPositive	neutral	B-neutralPositive	B-neutral	train	train	sentiment
ROG-Dia-GSO-P0005_ROG-dialog-0007_258.801_259.132	ROG-Dia-GSO-P0005	ROG-dialog-0007	Ker če ...	Ker če ...	258.801	259.132	neutralPositive	neutral	B-neutralPositive	B-neutral	train	train	sentiment
ROG-Dia-GSO-P0005_ROG-dialog-0007_259.920_260.941	ROG-Dia-GSO-P0005	ROG-dialog-0007	Ja, tudi.	Ja, tudi.	259.92	260.941	neutralNegative	neutral	B-neutralNegative	B-neutral	train	train	sentiment
ROG-Dia-GSO-P0005_ROG-dialog-0007_260.941_265.174	ROG-Dia-GSO-P0005	ROG-dialog-0007	Ker če boš na pršla na letališče, mor@š, tm je en tak pano,	Ker če boš na prišla na letališče, moraš, tam je en tak pano,	260.941	265.174	neutralPositive	neutral	B-neutralPositive	I-neutral	train	train	sentiment
ROG-Dia-GSO-P0005_ROG-dialog-0007_265.174_268.809	ROG-Dia-GSO-P0005	ROG-dialog-0007	pa nuotr je ohrajenu, kaš@n eee kuf@r gre nuoter.	pa notri je ograjeno, kakšen eee kufer gre noter.	265.174	268.809	neutralPositive	neutral	I-neutralPositive	I-neutral	train	train	sentiment
ROG-Dia-GSO-P0005_ROG-dialog-0007_268.809_271.182	ROG-Dia-GSO-P0005	ROG-dialog-0007	Če je pre() prevel@k, lohk plačaš tut pjedes@t evrov, veš?	Če je pre() prevelik, lahko plačaš tudi petdeset evrov, veš?	268.809	271.182	neutralNegative	neutral	B-neutralNegative	I-neutral	train	train	sentiment
ROG-Dia-GSO-P0005_ROG-dialog-0007_271.725_272.324	ROG-Dia-GSO-P0005	ROG-dialog-0007	Ja, ja.	Ja, ja.	271.725	272.324	neutralPositive	neutral	B-neutralPositive	B-neutral	train	train	sentiment
ROG-Dia-GSO-P0005_ROG-dialog-0007_273.188_275.063	ROG-Dia-GSO-P0005	ROG-dialog-0007	Te lohku tm kr ustavjo.	Te lahko tam kar ustavijo.	273.188	275.063	neutralNegative	neutral	B-neutralNegative	B-neutral	train	train	sentiment
ROG-Dia-GSO-P0005_ROG-dialog-0007_275.063_275.692	ROG-Dia-GSO-P0005	ROG-dialog-0007	Ja.	Ja.	275.063	275.692	neutralPositive	neutral	B-neutralPositive	I-neutral	train	train	sentiment
ROG-Dia-GSO-P0005_ROG-dialog-0007_275.692_277.867	ROG-Dia-GSO-P0005	ROG-dialog-0007	Zatu morju b@t standardne mjere.	Zato morajo biti standardne mere.	275.692	277.867	neutralPositive	neutral	I-neutralPositive	I-neutral	train	train	sentiment
ROG-Dia-GSO-P0005_ROG-dialog-0007_277.867_279.907	ROG-Dia-GSO-P0005	ROG-dialog-0007	Tku ku piše tm, na aplikaciji.	Tako kot piše tam, na aplikaciji.	277.867	279.907	neutralPositive	neutral	I-neutralPositive	I-neutral	train	train	sentiment
ROG-Dia-GSO-P0005_ROG-dialog-0007_283.793_284.027	ROG-Dia-GSO-P0005	ROG-dialog-0007	Ja.	Ja.	283.793	284.027	neutralPositive	neutral	B-neutralPositive	B-neutral	train	train	sentiment
ROG-Dia-GSO-P0005_ROG-dialog-0007_284.027_285.210	ROG-Dia-GSO-P0005	ROG-dialog-0007	Pejt puhled@t.	Pojdi pogledat.	284.027	285.21	neutralPositive	neutral	I-neutralPositive	I-neutral	train	train	sentiment
ROG-Dia-GSO-P0005_ROG-dialog-0007_285.210_287.039	ROG-Dia-GSO-P0005	ROG-dialog-0007	Po moje da j@maju v tej eee,	Po moje da imajo v tej eee,	285.21	287.039	neutralPositive	neutral	I-neutralPositive	I-neutral	train	train	sentiment
