instance_id	file_id	speaker	colloq	norm	start_t	end_t	label_orig	label_collapse	NER_orig	NER_collapse	split_orig	split_redo	annotation_type
ROG-Dia-GSO-P0005_ROG-dialog-0007_37.801_38.047	ROG-Dia-GSO-P0005	ROG-dialog-0007	Ja,	Ja,	37.801	38.047	discourseStructuring	discourseStructuring	B-discourseStructuring	B-discourseStructuring	train	train	dimension
ROG-Dia-GSO-P0005_ROG-dialog-0007_38.047_40.450	ROG-Dia-GSO-P0005	ROG-dialog-0007	ker pol maš shranjene te karte v aplikaciji.	ker pol imaš shranjene te karte v aplikaciji.	38.047	40.45	task	task	B-task	B-task	train	train	dimension
ROG-Dia-GSO-P0005_ROG-dialog-0007_42.701_42.900	ROG-Dia-GSO-P0005	ROG-dialog-0007	Ja,	Ja,	42.701	42.9	task	task	B-task	B-task	train	train	dimension
ROG-Dia-GSO-P0005_ROG-dialog-0007_42.900_44.020	ROG-Dia-GSO-P0005	ROG-dialog-0007	puol si jih pa še natisn@š,	pol si jih pa še natisneš,	42.9	44.02	task	task	I-task	I-task	train	train	dimension
ROG-Dia-GSO-P0005_ROG-dialog-0007_44.020_44.807	ROG-Dia-GSO-P0005	ROG-dialog-0007	č() če ti slučajn telefon crkne.	č() če ti slučajno telefon crkne.	44.02	44.807	task	task	I-task	I-task	train	train	dimension
ROG-Dia-GSO-P0005_ROG-dialog-0007_44.807_46.755	ROG-Dia-GSO-P0005	ROG-dialog-0007	Ja.	Ja.	44.807	46.755	task	task	I-task	I-task	train	train	dimension
ROG-Dia-GSO-P0005_ROG-dialog-0007_48.013_50.233	ROG-Dia-GSO-P0005	ROG-dialog-0007	Tm zbjereš,	Tam izbereš,	48.013	50.233	task	task	B-task	B-task	train	train	dimension
ROG-Dia-GSO-P0005_ROG-dialog-0007_50.233_51.667	ROG-Dia-GSO-P0005	ROG-dialog-0007	pol se prjav@š,	pol se prijaviš,	50.233	51.667	ownCommunicationManagement	ownCommunicationManagement	B-ownCommunicationManagement	B-ownCommunicationManagement	train	train	dimension
ROG-Dia-GSO-P0005_ROG-dialog-0007_51.667_52.787	ROG-Dia-GSO-P0005	ROG-dialog-0007	prjav@š tiste usjebe,	prijaviš tiste osebe,	51.667	52.787	task	task	B-task	B-task	train	train	dimension
ROG-Dia-GSO-P0005_ROG-dialog-0007_52.787_53.776	ROG-Dia-GSO-P0005	ROG-dialog-0007	ku grjejo.	ko grejo.	52.787	53.776	task	task	I-task	I-task	train	train	dimension
ROG-Dia-GSO-P0005_ROG-dialog-0007_53.776_55.186	ROG-Dia-GSO-P0005	ROG-dialog-0007	Pa mor bit prov napisano.	Pa mora biti prav napisano.	53.776	55.186	task	task	I-task	I-task	train	train	dimension
ROG-Dia-GSO-P0005_ROG-dialog-0007_55.186_56.595	ROG-Dia-GSO-P0005	ROG-dialog-0007	Morjo bit vse črke prov.	Morajo biti vse črke prav.	55.186	56.595	task	task	I-task	I-task	train	train	dimension
ROG-Dia-GSO-P0005_ROG-dialog-0007_58.838_61.700	ROG-Dia-GSO-P0005	ROG-dialog-0007	Lohku eee z doplačil@m,	Lahko eee z doplačilom,	58.838	61.7	task	task	B-task	B-task	train	train	dimension
ROG-Dia-GSO-P0005_ROG-dialog-0007_61.700_62.993	ROG-Dia-GSO-P0005	ROG-dialog-0007	misl@m, da je desjet evru,	mislim, da je deset evrov,	61.7	62.993	task	task	I-task	I-task	train	train	dimension
ROG-Dia-GSO-P0005_ROG-dialog-0007_62.993_66.083	ROG-Dia-GSO-P0005	ROG-dialog-0007	da zamenjaš eee naslov eee naslovnika karte.	da zamenjaš eee naslov eee naslovnika karte.	62.993	66.083	task	task	I-task	I-task	train	train	dimension
ROG-Dia-GSO-P0005_ROG-dialog-0007_66.930_67.133	ROG-Dia-GSO-P0005	ROG-dialog-0007	Ja,	Ja,	66.93	67.133	task	task	B-task	B-task	train	train	dimension
ROG-Dia-GSO-P0005_ROG-dialog-0007_67.133_68.851	ROG-Dia-GSO-P0005	ROG-dialog-0007	in pol s kartico plačaš.	in pol s kartico plačaš.	67.133	68.851	task	task	I-task	I-task	train	train	dimension
ROG-Dia-GSO-P0005_ROG-dialog-0007_69.978_72.147	ROG-Dia-GSO-P0005	ROG-dialog-0007	Kartico j@maš za plačat?	Kartico imaš za plačati?	69.978	72.147	task	task	B-task	B-task	train	train	dimension
ROG-Dia-GSO-P0005_ROG-dialog-0007_72.636_73.120	ROG-Dia-GSO-P0005	ROG-dialog-0007	Bančno?	Bančno?	72.636	73.12	task	task	I-task	I-task	train	train	dimension
ROG-Dia-GSO-P0005_ROG-dialog-0007_73.508_73.980	ROG-Dia-GSO-P0005	ROG-dialog-0007	A j@maš?	A imaš?	73.508	73.98	task	task	I-task	I-task	train	train	dimension
ROG-Dia-GSO-P0005_ROG-dialog-0007_75.105_75.387	ROG-Dia-GSO-P0005	ROG-dialog-0007	A no,	A no,	75.105	75.387	discourseStructuring	discourseStructuring	B-discourseStructuring	B-discourseStructuring	train	train	dimension
ROG-Dia-GSO-P0005_ROG-dialog-0007_75.387_76.027	ROG-Dia-GSO-P0005	ROG-dialog-0007	tistu j@maš.	tisto imaš.	75.387	76.027	task	task	B-task	B-task	train	train	dimension
ROG-Dia-GSO-P0005_ROG-dialog-0007_76.027_78.046	ROG-Dia-GSO-P0005	ROG-dialog-0007	No, in pol ko plačaš ...	No, in pol ko plačaš ...	76.027	78.046	task	task	I-task	I-task	train	train	dimension
ROG-Dia-GSO-P0005_ROG-dialog-0007_78.046_79.880	ROG-Dia-GSO-P0005	ROG-dialog-0007	puol pa hr@š nazaj v aplikacijo	pol pa greš nazaj v aplikacijo	78.046	79.88	task	task	I-task	I-task	train	train	dimension
ROG-Dia-GSO-P0005_ROG-dialog-0007_79.880_81.743	ROG-Dia-GSO-P0005	ROG-dialog-0007	in nardiš tisti ček in.	in narediš tisti check in.	79.88	81.743	task	task	I-task	I-task	train	train	dimension
ROG-Dia-GSO-P0005_ROG-dialog-0007_82.496_83.433	ROG-Dia-GSO-P0005	ROG-dialog-0007	Ne?	Ne?	82.496	83.433	task	task	B-task	B-task	train	train	dimension
ROG-Dia-GSO-P0005_ROG-dialog-0007_83.433_84.620	ROG-Dia-GSO-P0005	ROG-dialog-0007	In tm ti piše puol,	In tam ti piše pol,	83.433	84.62	task	task	I-task	I-task	train	train	dimension
ROG-Dia-GSO-P0005_ROG-dialog-0007_84.620_86.070	ROG-Dia-GSO-P0005	ROG-dialog-0007	ob kulki uri grješ	ob koliki uri greš	84.62	86.07	task	task	I-task	I-task	train	train	dimension
ROG-Dia-GSO-P0005_ROG-dialog-0007_86.070_87.467	ROG-Dia-GSO-P0005	ROG-dialog-0007	in kdaj pristaneš.	in kdaj pristaneš.	86.07	87.467	task	task	I-task	I-task	train	train	dimension
ROG-Dia-GSO-P0005_ROG-dialog-0007_87.467_88.976	ROG-Dia-GSO-P0005	ROG-dialog-0007	In številko leta.	In številko leta.	87.467	88.976	task	task	I-task	I-task	train	train	dimension
ROG-Dia-GSO-P0005_ROG-dialog-0007_88.976_90.502	ROG-Dia-GSO-P0005	ROG-dialog-0007	Pa za ...	Pa za ...	88.976	90.502	task	task	I-task	I-task	train	train	dimension
ROG-Dia-GSO-P0005_ROG-dialog-0007_92.364_92.587	ROG-Dia-GSO-P0005	ROG-dialog-0007	Ja, no,	Ja, no,	92.364	92.587	discourseStructuring	discourseStructuring	B-discourseStructuring	B-discourseStructuring	train	train	dimension
ROG-Dia-GSO-P0005_ROG-dialog-0007_92.587_95.011	ROG-Dia-GSO-P0005	ROG-dialog-0007	pa sej sss čm ti puvedat pa te navad@t.	pa saj sss čem ti povedati pa te navaditi.	92.587	95.011	task	task	B-task	B-task	train	train	dimension
ROG-Dia-GSO-P0005_ROG-dialog-0007_95.487_96.113	ROG-Dia-GSO-P0005	ROG-dialog-0007	Pa kaj b()	Pa kaj b()	95.487	96.113	ownCommunicationManagement	ownCommunicationManagement	B-ownCommunicationManagement	B-ownCommunicationManagement	train	train	dimension
ROG-Dia-GSO-P0005_ROG-dialog-0007_96.113_97.797	ROG-Dia-GSO-P0005	ROG-dialog-0007	ki buste pa parkirali?	kje boste pa parkirali?	96.113	97.797	task	task	B-task	B-task	train	train	dimension
ROG-Dia-GSO-P0005_ROG-dialog-0007_98.887_99.300	ROG-Dia-GSO-P0005	ROG-dialog-0007	Ja,	Ja,	98.887	99.3	discourseStructuring	discourseStructuring	B-discourseStructuring	B-discourseStructuring	train	train	dimension
ROG-Dia-GSO-P0005_ROG-dialog-0007_99.300_100.809	ROG-Dia-GSO-P0005	ROG-dialog-0007	avto na letališči?	avto na letališču?	99.3	100.809	task	task	B-task	B-task	train	train	dimension
ROG-Dia-GSO-P0005_ROG-dialog-0007_102.910_105.010	ROG-Dia-GSO-P0005	ROG-dialog-0007	Ma na, pa spet.	Ma na, pa spet.	102.91	105.01	discourseStructuring	discourseStructuring	B-discourseStructuring	B-discourseStructuring	train	train	dimension
ROG-Dia-GSO-P0005_ROG-dialog-0007_105.010_106.675	ROG-Dia-GSO-P0005	ROG-dialog-0007	Pa tm rezervirejte tisto.	Pa tam rezervirajte tisto.	105.01	106.675	task	task	B-task	B-task	train	train	dimension
ROG-Dia-GSO-P0005_ROG-dialog-0007_107.182_107.807	ROG-Dia-GSO-P0005	ROG-dialog-0007	Ja,	Ja,	107.182	107.807	task	task	B-task	B-task	train	train	dimension
ROG-Dia-GSO-P0005_ROG-dialog-0007_107.807_112.081	ROG-Dia-GSO-P0005	ROG-dialog-0007	sam morš met eee tab@lco, registracijo	samo moraš imeti eee tablico, registracijo	107.807	112.081	task	task	I-task	I-task	train	train	dimension
ROG-Dia-GSO-P0005_ROG-dialog-0007_112.081_116.436	ROG-Dia-GSO-P0005	ROG-dialog-0007	in pol tm daš od kdaj do kdaj, kir datum in uro.	in pol tam daš od kdaj do kdaj, kateri datum in uro.	112.081	116.436	task	task	I-task	I-task	train	train	dimension
ROG-Dia-GSO-P0005_ROG-dialog-0007_117.073_118.133	ROG-Dia-GSO-P0005	ROG-dialog-0007	In pol tm p@stiš	In pol tam pustiš	117.073	118.133	task	task	B-task	B-task	train	train	dimension
ROG-Dia-GSO-P0005_ROG-dialog-0007_118.133_120.047	ROG-Dia-GSO-P0005	ROG-dialog-0007	in te že senzor zazna tab@lco,	in te že senzor zazna tablico,	118.133	120.047	task	task	I-task	I-task	train	train	dimension
ROG-Dia-GSO-P0005_ROG-dialog-0007_120.047_120.493	ROG-Dia-GSO-P0005	ROG-dialog-0007	ja.	ja.	120.047	120.493	discourseStructuring	discourseStructuring	B-discourseStructuring	B-discourseStructuring	train	train	dimension
ROG-Dia-GSO-P0005_ROG-dialog-0007_120.493_120.853	ROG-Dia-GSO-P0005	ROG-dialog-0007	Ja,	Ja,	120.493	120.853	discourseStructuring	discourseStructuring	I-discourseStructuring	I-discourseStructuring	train	train	dimension
ROG-Dia-GSO-P0005_ROG-dialog-0007_120.853_121.687	ROG-Dia-GSO-P0005	ROG-dialog-0007	in nč ne rab@š.	in nič ne rabiš.	120.853	121.687	task	task	B-task	B-task	train	train	dimension
ROG-Dia-GSO-P0005_ROG-dialog-0007_122.951_123.307	ROG-Dia-GSO-P0005	ROG-dialog-0007	No,	No,	122.951	123.307	discourseStructuring	discourseStructuring	B-discourseStructuring	B-discourseStructuring	train	train	dimension
ROG-Dia-GSO-P0005_ROG-dialog-0007_123.307_125.123	ROG-Dia-GSO-P0005	ROG-dialog-0007	in ti je čist enostavno ke prid@t.	in ti je čisto enostavno tja priti.	123.307	125.123	task	task	B-task	B-task	train	train	dimension
ROG-Dia-GSO-P0005_ROG-dialog-0007_126.027_128.087	ROG-Dia-GSO-P0005	ROG-dialog-0007	A no, sej smo šle zadnič.	A no, saj smo šle zadnjič.	126.027	128.087	task	task	B-task	B-task	train	train	dimension
ROG-Dia-GSO-P0005_ROG-dialog-0007_128.087_129.229	ROG-Dia-GSO-P0005	ROG-dialog-0007	Na pregled.	Na pregled.	128.087	129.229	task	task	I-task	I-task	train	train	dimension
ROG-Dia-GSO-P0005_ROG-dialog-0007_129.229_130.940	ROG-Dia-GSO-P0005	ROG-dialog-0007	No,	No,	129.229	130.94	discourseStructuring	discourseStructuring	B-discourseStructuring	B-discourseStructuring	train	train	dimension
ROG-Dia-GSO-P0005_ROG-dialog-0007_130.940_132.273	ROG-Dia-GSO-P0005	ROG-dialog-0007	in ko uste pršle nazaj,	in ko boste prišle nazaj,	130.94	132.273	task	task	B-task	B-task	train	train	dimension
ROG-Dia-GSO-P0005_ROG-dialog-0007_132.273_134.036	ROG-Dia-GSO-P0005	ROG-dialog-0007	se vsedeš v avto	se usedeš v avto	132.273	134.036	task	task	I-task	I-task	train	train	dimension
ROG-Dia-GSO-P0005_ROG-dialog-0007_137.504_139.426	ROG-Dia-GSO-P0005	ROG-dialog-0007	Sej buš počivala na letali.	Saj boš počivala na letalu.	137.504	139.426	task	task	B-task	B-task	train	train	dimension
ROG-Dia-GSO-P0005_ROG-dialog-0007_139.931_141.680	ROG-Dia-GSO-P0005	ROG-dialog-0007	Kuk cajta se uste pelali?	Koliko cajta se boste peljali?	139.931	141.68	task	task	B-task	B-task	train	train	dimension
ROG-Dia-GSO-P0005_ROG-dialog-0007_141.680_142.087	ROG-Dia-GSO-P0005	ROG-dialog-0007	Dve uri?	Dve uri?	141.68	142.087	task	task	I-task	I-task	train	train	dimension
ROG-Dia-GSO-P0005_ROG-dialog-0007_142.087_142.960	ROG-Dia-GSO-P0005	ROG-dialog-0007	Kulk smo se mi pelali?	Koliko smo se mi peljali?	142.087	142.96	task	task	I-task	I-task	train	train	dimension
ROG-Dia-GSO-P0005_ROG-dialog-0007_142.960_143.902	ROG-Dia-GSO-P0005	ROG-dialog-0007	Tri?	Tri?	142.96	143.902	task	task	I-task	I-task	train	train	dimension
ROG-Dia-GSO-P0005_ROG-dialog-0007_143.902_144.573	ROG-Dia-GSO-P0005	ROG-dialog-0007	Dvej,	Dve,	143.902	144.573	task	task	I-task	I-task	train	train	dimension
ROG-Dia-GSO-P0005_ROG-dialog-0007_144.573_145.091	ROG-Dia-GSO-P0005	ROG-dialog-0007	menda,	menda,	144.573	145.091	task	task	I-task	I-task	train	train	dimension
ROG-Dia-GSO-P0005_ROG-dialog-0007_145.091_145.608	ROG-Dia-GSO-P0005	ROG-dialog-0007	ne vem.	ne vem.	145.091	145.608	task	task	I-task	I-task	train	train	dimension
ROG-Dia-GSO-P0005_ROG-dialog-0007_147.075_148.767	ROG-Dia-GSO-P0005	ROG-dialog-0007	Na karti bo pisalu.	Na karti bo pisalo.	147.075	148.767	task	task	B-task	B-task	train	train	dimension
ROG-Dia-GSO-P0005_ROG-dialog-0007_148.767_149.253	ROG-Dia-GSO-P0005	ROG-dialog-0007	Kdaj je vzlet	Kdaj je vzlet	148.767	149.253	task	task	I-task	I-task	train	train	dimension
ROG-Dia-GSO-P0005_ROG-dialog-0007_149.253_150.133	ROG-Dia-GSO-P0005	ROG-dialog-0007	in kdaj je pristanek.	in kdaj je pristanek.	149.253	150.133	task	task	I-task	I-task	train	train	dimension
ROG-Dia-GSO-P0005_ROG-dialog-0007_151.669_152.287	ROG-Dia-GSO-P0005	ROG-dialog-0007	Ja,	Ja,	151.669	152.287	discourseStructuring	discourseStructuring	B-discourseStructuring	B-discourseStructuring	train	train	dimension
ROG-Dia-GSO-P0005_ROG-dialog-0007_152.287_154.954	ROG-Dia-GSO-P0005	ROG-dialog-0007	sej zatu si muorš naruo() naluožt tisto aplikacijo.	saj zato si moraš naruo() naložiti tisto aplikacijo.	152.287	154.954	task	task	B-task	B-task	train	train	dimension
ROG-Dia-GSO-P0005_ROG-dialog-0007_155.796_157.040	ROG-Dia-GSO-P0005	ROG-dialog-0007	Ja, kaj pa	Ja, kaj pa	155.796	157.04	task	task	B-task	B-task	train	train	dimension
ROG-Dia-GSO-P0005_ROG-dialog-0007_157.040_157.873	ROG-Dia-GSO-P0005	ROG-dialog-0007	eee	eee	157.04	157.873	ownCommunicationManagement	ownCommunicationManagement	B-ownCommunicationManagement	B-ownCommunicationManagement	train	train	dimension
ROG-Dia-GSO-P0005_ROG-dialog-0007_157.873_159.028	ROG-Dia-GSO-P0005	ROG-dialog-0007	hotel?	hotel?	157.873	159.028	task	task	B-task	B-task	train	train	dimension
ROG-Dia-GSO-P0005_ROG-dialog-0007_159.028_160.472	ROG-Dia-GSO-P0005	ROG-dialog-0007	A ne boste v hoteli?	A ne boste v hotelu?	159.028	160.472	task	task	I-task	I-task	train	train	dimension
ROG-Dia-GSO-P0005_ROG-dialog-0007_160.472_161.106	ROG-Dia-GSO-P0005	ROG-dialog-0007	Ki pa boste?	Kje pa boste?	160.472	161.106	task	task	I-task	I-task	train	train	dimension
ROG-Dia-GSO-P0005_ROG-dialog-0007_161.998_163.895	ROG-Dia-GSO-P0005	ROG-dialog-0007	A hmečki turizem bo?	A kmečki turizem bo?	161.998	163.895	task	task	B-task	B-task	train	train	dimension
ROG-Dia-GSO-P0005_ROG-dialog-0007_163.895_165.350	ROG-Dia-GSO-P0005	ROG-dialog-0007	Kaj z zajtrkom?	Kaj z zajtrkom?	163.895	165.35	task	task	I-task	I-task	train	train	dimension
ROG-Dia-GSO-P0005_ROG-dialog-0007_166.285_167.044	ROG-Dia-GSO-P0005	ROG-dialog-0007	Aja?	Aja?	166.285	167.044	task	task	B-task	B-task	train	train	dimension
ROG-Dia-GSO-P0005_ROG-dialog-0007_167.044_167.803	ROG-Dia-GSO-P0005	ROG-dialog-0007	Z zajtrkom?	Z zajtrkom?	167.044	167.803	task	task	I-task	I-task	train	train	dimension
ROG-Dia-GSO-P0005_ROG-dialog-0007_168.199_169.249	ROG-Dia-GSO-P0005	ROG-dialog-0007	Ma brez večirje?	Ma brez večerje?	168.199	169.249	task	task	I-task	I-task	train	train	dimension
ROG-Dia-GSO-P0005_ROG-dialog-0007_170.636_171.647	ROG-Dia-GSO-P0005	ROG-dialog-0007	Aja, večirja.	Aja, večerja.	170.636	171.647	autoFeedback	autoFeedback	B-autoFeedback	B-autoFeedback	train	train	dimension
ROG-Dia-GSO-P0005_ROG-dialog-0007_171.647_173.059	ROG-Dia-GSO-P0005	ROG-dialog-0007	A uste šli kam drgam?	A boste šli kam drugam?	171.647	173.059	task	task	B-task	B-task	train	train	dimension
ROG-Dia-GSO-P0005_ROG-dialog-0007_175.419_177.017	ROG-Dia-GSO-P0005	ROG-dialog-0007	V kirmu kraji pa j@?	V katerem kraju pa je?	175.419	177.017	task	task	B-task	B-task	train	train	dimension
ROG-Dia-GSO-P0005_ROG-dialog-0007_181.733_182.666	ROG-Dia-GSO-P0005	ROG-dialog-0007	Ja, super.	Ja, super.	181.733	182.666	task	task	B-task	B-task	train	train	dimension
ROG-Dia-GSO-P0005_ROG-dialog-0007_182.666_183.906	ROG-Dia-GSO-P0005	ROG-dialog-0007	Js bi šla tut taku.	Jaz bi šla tudi tako.	182.666	183.906	task	task	I-task	I-task	train	train	dimension
ROG-Dia-GSO-P0005_ROG-dialog-0007_185.872_186.625	ROG-Dia-GSO-P0005	ROG-dialog-0007	Ja.	Ja.	185.872	186.625	task	task	B-task	B-task	train	train	dimension
ROG-Dia-GSO-P0005_ROG-dialog-0007_189.130_189.647	ROG-Dia-GSO-P0005	ROG-dialog-0007	Ja,	Ja,	189.13	189.647	discourseStructuring	discourseStructuring	B-discourseStructuring	B-discourseStructuring	train	train	dimension
ROG-Dia-GSO-P0005_ROG-dialog-0007_189.647_189.847	ROG-Dia-GSO-P0005	ROG-dialog-0007	no,	no,	189.647	189.847	discourseStructuring	discourseStructuring	I-discourseStructuring	I-discourseStructuring	train	train	dimension
ROG-Dia-GSO-P0005_ROG-dialog-0007_189.847_192.035	ROG-Dia-GSO-P0005	ROG-dialog-0007	ma sej tut tu preko Bukinga reš l@hku, ne?	ma saj tudi tu preko Bookinga greš lahko, ne?	189.847	192.035	task	task	B-task	B-task	train	train	dimension
ROG-Dia-GSO-P0005_ROG-dialog-0007_192.462_194.093	ROG-Dia-GSO-P0005	ROG-dialog-0007	Tut tu morš imeti aplikacijo	Tudi tu moraš imeti aplikacijo	192.462	194.093	task	task	I-task	I-task	train	train	dimension
ROG-Dia-GSO-P0005_ROG-dialog-0007_194.093_195.428	ROG-Dia-GSO-P0005	ROG-dialog-0007	pa se registrir@t.	pa se registrirati.	194.093	195.428	task	task	I-task	I-task	train	train	dimension
ROG-Dia-GSO-P0005_ROG-dialog-0007_196.431_197.027	ROG-Dia-GSO-P0005	ROG-dialog-0007	Ne,	Ne,	196.431	197.027	discourseStructuring	discourseStructuring	B-discourseStructuring	B-discourseStructuring	train	train	dimension
ROG-Dia-GSO-P0005_ROG-dialog-0007_197.027_198.341	ROG-Dia-GSO-P0005	ROG-dialog-0007	pa si zbereš, kar č@š.	pa si izbereš, kar češ.	197.027	198.341	task	task	B-task	B-task	train	train	dimension
ROG-Dia-GSO-P0005_ROG-dialog-0007_201.508_202.813	ROG-Dia-GSO-P0005	ROG-dialog-0007	Mor@š met aplikacijo	Moraš imeti aplikacijo	201.508	202.813	task	task	B-task	B-task	train	train	dimension
ROG-Dia-GSO-P0005_ROG-dialog-0007_202.813_204.081	ROG-Dia-GSO-P0005	ROG-dialog-0007	pa si rezerviraš Buking,	pa si rezerviraš Booking,	202.813	204.081	task	task	I-task	I-task	train	train	dimension
ROG-Dia-GSO-P0005_ROG-dialog-0007_204.081_208.866	ROG-Dia-GSO-P0005	ROG-dialog-0007	pa sej tm maš guor tut apartmaje in bungalove menda in hotelov, kmečke turizme,	pa saj tam imaš gor tudi apartmaje in bungalove menda in hotelov, kmečke turizme,	204.081	208.866	task	task	I-task	I-task	train	train	dimension
ROG-Dia-GSO-P0005_ROG-dialog-0007_208.866_209.627	ROG-Dia-GSO-P0005	ROG-dialog-0007	menda je vse guor.	menda je vse gor.	208.866	209.627	task	task	I-task	I-task	train	train	dimension
ROG-Dia-GSO-P0005_ROG-dialog-0007_212.783_214.062	ROG-Dia-GSO-P0005	ROG-dialog-0007	[glas] Ja.	[glas] Ja.	212.783	214.062	discourseStructuring	discourseStructuring	B-discourseStructuring	B-discourseStructuring	train	train	dimension
ROG-Dia-GSO-P0005_ROG-dialog-0007_216.064_217.076	ROG-Dia-GSO-P0005	ROG-dialog-0007	Ja, lepu.	Ja, lepo.	216.064	217.076	discourseStructuring	discourseStructuring	B-discourseStructuring	B-discourseStructuring	train	train	dimension
ROG-Dia-GSO-P0005_ROG-dialog-0007_217.076_218.390	ROG-Dia-GSO-P0005	ROG-dialog-0007	Kaj pa za potovalko?	Kaj pa za potovalko?	217.076	218.39	task	task	B-task	B-task	train	train	dimension
